COUNTRY,number,,,,,,,,
Afghanistan,107,"Inventory of ground-water resources in the Kabul Basin, Afghanistan",,,,,,,
Albania,1,European Environment Agency (EEA),,,,,,,
Argentina,15,"Hydrogeochemistry of arsenic and other inorganic constituents in groundwaters from La Pampa, Argentina - ScienceDirect",,,,,,,
Australia,1669,"A groundwater quality assessment of shallow aquifers in the Darwin rural area, Northern Territory in SearchWorks catalog","A groundwater quality assessment of the fractured rock aquifers of the Piccadilly Valley, South... | Catalogue | National Library of Australia",CLM - Groundwater Chemistry outputs from multivariate statistics - Dataset - Data.gov.au,CLM - Multivariate statistics of bedrock groundwater chemistry - Dataset - Data.gov.au,CLM - Multivariate statistics of groundwater chemistry in Richmond and Clarence river basins - Dataset - Data.gov.au,Hydrochemistry analysis of the Galilee subregion - Dataset - Data.gov.au,"Geoscience Australia, National Collaborative Framework Hydrochemical Characterisation Project - Surat Basin Hydrochemistry Spreadsheets - Dataset - Data.gov.au",Shallow Groundwater Systems investigations – Perth | Western Australian Government
Bangladesh,3530,How paleosols influence groundwater flow and arsenic pollution: A model from the Bengal Basin and its worldwide implication - McArthur - 2008 - Water Resources Research - Wiley Online Library,Bangladesh reports and data - BGS Groundwater,,,,,,
Belgium,219,European Environment Agency (EEA),,,,,,,
Bosnia & Herzegovina,19,European Environment Agency (EEA),,,,,,,
Botswana,15,"Water resources quality data following extreme rainfall and floods in the Gaborone catchment, Upper Limpopo basin, Botswana - EIDC",,,,,,,
Brazil,93,Hotspots of geogenic arsenic and manganese contamination in groundwater of the floodplains in lowland Amazonia (South America) - ScienceDirect,,,,,,,
Bulgaria,39,European Environment Agency (EEA),,,,,,,
Cambodia,260,Arsenic and Manganese Contamination of Drinking Water Resources in Cambodia:  Coincidence of Risk Areas with Low Relief Topography | Environmental Science & Technology,Contamination of drinking water resources in the Mekong delta floodplains: Arsenic and other trace metals pose serious health risks to population - ScienceDirect,,,,,,
Cameroon,11,"Groundwater flow patterns, hydrogeochemistry and metals background levels of shallow hard rock aquifer in a humid tropical urban area in sub-Saharan Africa- A case study from Olézoa watershed (Yaoundé-Cameroon) - ScienceDirect",,,,,,,
Canada,707,Provincial Groundwater Monitoring Network - Open Government Portal,Groundwater hydrogeochemical survey of central New Brunswick - Le Dépôt fédéral de science ouverte du Canada,,,,,,
China,1088,"Distribution of groundwater arsenic in Xinjiang, P.R. China - ScienceDirect",Depth Stratification Leads to Distinct Zones of Manganese and Arsenic Contaminated Groundwater | Environmental Science & Technology,"Mobilisation of arsenic and other trace elements in fluviolacustrine aquifers of the Huhhot Basin, Inner Mongolia - ScienceDirect",,,,,
Croatia,61,European Environment Agency (EEA),GEMStat - The global water quality database,,,,,,
Cyprus,80,European Environment Agency (EEA),,,,,,,
Czechia,621,European Environment Agency (EEA),,,,,,,
Denmark,535,European Environment Agency (EEA),,,,,,,
Egypt,43,"Source and migration of dissolved manganese in the Central Nile Delta Aquifer, Egypt - ScienceDirect",,,,,,,
France,526,European Environment Agency (EEA),,,,,,,
Germany,1357,European Environment Agency (EEA),GEMStat - The global water quality database,,,,,,
Greece,646,European Environment Agency (EEA),,,,,,,
India,341,"Arsenic-enriched aquifers: Occurrences and mobilization of arsenic in groundwater of Ganges Delta Plain, Barasat, West Bengal, India - ScienceDirect","Controls on high and low groundwater arsenic on the opposite banks of the lower reaches of River Ganges, Bengal basin, India - ScienceDirect","Evaluating the geochemistry of groundwater contamination with iron and manganese and probabilistic human health risk assessment in endemic areas of the world’s largest River Island, India - ScienceDirect",Mobility of arsenic in West Bengal aquifers conducting low and high groundwater arsenic. Part I: Comparative hydrochemical and hydrogeological characteristics - ScienceDirect,"Diversity, Metabolic Properties and Arsenic Mobilization Potential of Indigenous Bacteria in Arsenic Contaminated Groundwater of West Bengal, India | PLOS One",India-WRIS,Groundwater Quality beneath an Asian Megacity on a Delta: Kolkata’s (Calcutta’s) Disappearing Arsenic and Present Manganese | Environmental Science & Technology,
Ireland,28,European Environment Agency (EEA),,,,,,,
Italy,3204,European Environment Agency (EEA),An Assessment of High Natural Manganese Concentration in the Groundwater Upstream of a Non-Hazardous Solid Waste Plant in the Southern Latium Region,,,,,,
Japan,1,GEMStat - The global water quality database,,,,,,,
Kosovo,9,European Environment Agency (EEA),,,,,,,
Latvia,100,European Environment Agency (EEA),,,,,,,
Macedonia,39,GEMStat - The global water quality database,,,,,,,
Mexico,1201,European Environment Agency (EEA),,,,,,,
Netherlands,256,European Environment Agency (EEA),,,,,,,
Pakistan,42,"Arsenic and other drinking water quality issues, Muzaffargarh District, Pakistan - ScienceDirect",,,,,,,
Peru,104,"Arsenic, manganese and aluminum contamination in groundwater resources of Western Amazonia (Peru) - ScienceDirect",Hotspots of geogenic arsenic and manganese contamination in groundwater of the floodplains in lowland Amazonia (South America) - ScienceDirect,,,,,,
